_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
19789,ET,80,2011-01
19790,NY,136,2011-01
19791,SC,159,2011-01
19792,TO,367,2011-01
19793,ET,109,2011-02
19794,NY,150,2011-02
19795,SC,154,2011-02
19796,TO,383,2011-02
19797,ET,177,2011-03
19798,NY,231,2011-03
19799,SC,213,2011-03
19800,TO,589,2011-03
19801,ET,178,2011-04
19802,NY,277,2011-04
19803,SC,261,2011-04
19804,TO,660,2011-04
19805,ET,263,2011-05
19806,NY,376,2011-05
19807,SC,375,2011-05
19808,TO,871,2011-05
19809,ET,255,2011-06
19810,NY,365,2011-06
19811,SC,334,2011-06
19812,TO,870,2011-06
19813,ET,238,2011-07
19814,NY,364,2011-07
19815,SC,352,2011-07
19816,TO,989,2011-07
19817,ET,257,2011-08
19818,NY,366,2011-08
19819,SC,345,2011-08
19820,TO,965,2011-08
19821,ET,152,2011-09
19822,NY,255,2011-09
19823,SC,276,2011-09
19824,TO,638,2011-09
19825,ET,126,2011-10
19826,NY,201,2011-10
19827,SC,218,2011-10
19828,TO,468,2011-10
19829,ET,103,2011-11
19830,NY,191,2011-11
19831,SC,182,2011-11
19832,TO,340,2011-11
19833,ET,109,2011-12
19834,NY,171,2011-12
19835,SC,149,2011-12
19836,TO,356,2011-12
19837,ET,115,2012-01
19838,NY,176,2012-01
19839,SC,171,2012-01
19840,TO,440,2012-01
19841,ET,134,2012-02
19842,NY,195,2012-02
19843,SC,160,2012-02
19844,TO,390,2012-02
19845,ET,183,2012-03
19846,NY,234,2012-03
19847,SC,243,2012-03
19848,TO,567,2012-03
19849,ET,194,2012-04
19850,NY,225,2012-04
19851,SC,252,2012-04
19852,TO,561,2012-04
19853,ET,217,2012-05
19854,NY,294,2012-05
19855,SC,332,2012-05
19856,TO,807,2012-05
19857,ET,262,2012-06
19858,NY,353,2012-06
19859,SC,340,2012-06
19860,TO,888,2012-06
19861,ET,269,2012-07
19862,NY,404,2012-07
19863,SC,371,2012-07
19864,TO,971,2012-07
19865,ET,251,2012-08
19866,NY,353,2012-08
19867,SC,346,2012-08
19868,TO,980,2012-08
19869,ET,132,2012-09
